## Mesures de temps pour mistral 20 core, comparaison SYCL/base

Binary Initialization Loading Stencil Copy L_L1_DCM L_L2_DCM L_L3_TCM S_L1_DCM S_L2_DCM S_L3_TCM Initialization Loading Stencil Copy L_L1_DCM L_L2_DCM L_L3_TCM S_L1_DCM S_L2_DCM S_L3_TCM

base-seq-malloc-Nft	116	0	14982	92	0	0	0	867101251	4164639	805749	115	0	14982	91	0	0	0	863404160	3442450	1004689	3
base-omp-malloc-Nft	63	0	865	15	0	0	0	43668417	309332	125581	63	0	864	15	0	0	0	43633821	254901	109064	3
sycl-omp-malloc-Nft	10	0	874	24	0	0	0	44421109	292340	125027	11	0	874	24	0	0	0	44538081	304555	120290	3
lint-hr-omp-malloc-Nft-Nct	11	0	7918	46	0	0	0	437548169	4488524	1006911	10	0	7922	45	0	0	0	441260993	6230488	1068847	3
lint-omp-malloc-Nft-Nct	11	6330	5218	18	16051042	15429425	4791008	45989698	17977635	6733865	10	6479	5311	19	16695511	15901914	4903411	42837411	19873544	7627542	3
tile-omp-malloc-Nft-Nct	11	6141	5201	27	16635912	15848697	5171471	44792458	16423545	5963121	11	6358	5309	26	20875806	19720780	6891949	36982735	24252046	10131135	3
lint-rt-omp-malloc-Nft-Nct	6	6566	4220	25	19813412	18896516	6521846	41961858	16043919	6251774	6	6553	4057	27	22780603	21708131	7982288	38422446	18137631	7361396	3
